BEGIN GB-L03 The Puppet Laundry
PASS GB-L03 walk 8 | (7.85, 0.76) feet=0.01 hp=6
PASS GB-L03 spider strings Host | (7.85, 0.76) feet=0.01 hp=6
PASS GB-L03 thread 29 length 9.5 | (35.03, 2.96) feet=2.21 hp=6
PASS GB-L03 thread 43 length 9.5 | (46.00, 1.69) feet=0.94 hp=6
PASS GB-L03 thread 53 length 9.5 | (53.16, 1.99) feet=1.24 hp=6
PASS GB-L03 thread 76 length 10.5 | (78.78, 1.64) feet=0.89 hp=6
PASS GB-L03 thread 89 length 5.5 | (92.77, 8.54) feet=7.79 hp=6
PASS GB-L03 physical laundry key | (86.73, 7.39) feet=6.64 hp=6
PASS GB-L03 thread 99 length 6.4 | (98.81, 6.84) feet=6.09 hp=6
PASS GB-L03 lines cut on Turn | (98.81, 6.83) feet=6.08 hp=6
PASS GB-L03 thread 77 length 5.5 | (74.44, 6.66) feet=5.91 hp=6
PASS GB-L03 thread 62 length 10.5 | (61.96, 0.88) feet=0.13 hp=6
PASS GB-L03 thread 53 length 9.5 | (50.55, 2.71) feet=1.96 hp=6
PASS GB-L03 thread 40 length 9.5 | (40.44, 0.41) feet=-0.34 hp=6
PASS GB-L03 thread 7 length 10.5 | (11.84, 2.69) feet=1.94 hp=6
PASS GB-L03 shears release the body | (4.62, 1.24) feet=0.49 hp=6
PASS GB-L03 walk 2 | (3.14, 0.76) feet=0.01 hp=6
PASS GB-L03 critical path returns to entrance | (3.14, 0.76) feet=0.01 hp=6
PASS GB-L03 practice does not write stage or Mercy progress | (3.14, 0.76) feet=0.01 hp=6
