BEGIN GB-B5 The Host of Hosts
PASS GB-B5 final witness selects a real authored route body=(3.00, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 jump to 5 / 2 body=(4.70, 2.75) velocity=(0.93, 0.00) feet=2.003951 hp=6
PASS GB-B5 jump to 8 / 4 body=(7.71, 4.75) velocity=(0.91, 0.00) feet=4.004992 hp=6
PASS GB-B5 votive angel supplies conserved wax body=(7.71, 4.75) velocity=(0.91, 0.00) feet=4.004992 hp=6
PASS GB-B5 walk 21 body=(20.80, 4.67) velocity=(1.54, 0.00) feet=4.004999 hp=6
PASS GB-B5 actual reduced living mass releases the upper arch body=(20.81, 4.67) velocity=(0.00, 0.00) feet=4.004999 hp=6
PASS GB-B5 first act tenant follows the player's actual route body=(20.81, 4.67) velocity=(0.00, 0.00) feet=4.004999 hp=6
PASS GB-B5 walk 38 body=(37.79, 0.75) velocity=(1.62, 0.00) feet=0.004998386 hp=6
PASS GB-B5 the opponent steals the chosen tenant without relocating the player body=(37.79, 0.75) velocity=(1.62, 0.00) feet=0.004998386 hp=6
PASS GB-B5 theft removes and embargoes exactly the chosen tenant body=(37.80, 0.75) velocity=(0.54, 0.00) feet=0.004998684 hp=6
PASS GB-B5 theft does not refill player health body=(37.80, 0.75) velocity=(0.54, 0.00) feet=0.004998684 hp=6
PASS GB-B5 walk 60 body=(59.79, 0.75) velocity=(1.64, 0.00) feet=0.004999876 hp=6
PASS GB-B5 jump to 63 / 2 body=(62.71, 2.75) velocity=(0.92, 0.00) feet=2.00485 hp=6
PASS GB-B5 walk 65.8 body=(65.58, 2.63) velocity=(1.55, 0.10) feet=1.879552 hp=6
PASS GB-B5 the wet crack remains reachable above the stolen wax body=(65.58, 2.63) velocity=(1.55, 0.10) feet=1.879552 hp=6
PASS GB-B5 stolen wax forces a different root solution body=(65.59, 2.63) velocity=(0.34, 0.03) feet=1.880564 hp=6
PASS GB-B5 tenant acquired Root body=(65.59, 2.63) velocity=(0.34, 0.03) feet=1.880564 hp=6
PASS GB-B5 focus Root body=(65.59, 2.63) velocity=(0.34, 0.03) feet=1.880564 hp=6
